year,make,number
2007,HUSQVARNA,54
2007,HYOSUNG,349
2007,ITALJET,18
2007,K.T.M.,691
2007,KAWASAKI,4042
2007,KEEWAY,0
2007,KYMCO,821
2007,LAMBRETTA,17
2007,LML,585
2007,M.V. AGUSTA,25
2007,M.V. AUGUSTA,0
2007,MEGELLI,0
2007,MLE,0
2007,MODENAS,334
2007,MOTO GUZZI,28
2007,NORTON,21
2007,P.G.O.,208
2007,PAIJIFA,8
2007,PEUGEOT,0
2007,PIAGGIO,7712
2007,REGAL-RAPTOR,0
2007,RIEJU,0
2007,ROYAL ENFIELD,29
2007,SACHS,0
2007,SACIN,0
2007,SANG YANG,15
2007,SANYANG,195
2007,SIPSTAR,0
2007,SUZUKI,8227
2007,SYM,1203
2007,T.G.B.,0
2007,TGB,5
2007,TIGER,36
2007,TRIUMPH,91
2007,TVS,0
2007,VESPA,5917
2007,VINCENT,0
2007,YAMAHA,38806
2007,ZIPSTAR,20
2007,ZONGSHEN,206
2007,OTHERS,31
2008,ADIVA,10
2008,APRILIA,1033
2008,B.M.W.,706
2008,B.S.A.,21
2008,BAJAJ,1587
2008,BENELLI,72
2008,BIMOTA,6
2008,CAGIVA,110
2008,CAN-AM,0
2008,CHUNLAN,21
2008,COSA,225
2008,CPI,11
2008,DAELIM,2120
2008,DERBI,6
2008,DUCATI,521
2008,EMAX,0
2008,GAS GAS,27
2008,HARLEY DAVIDSON,1200
2008,HARTFORD,5
2008,HONDA,67459
2008,HUSQVARNA,74
2008,HYOSUNG,294
2008,ITALJET,16
2008,K.T.M.,690
2008,KAWASAKI,4005
2008,KEEWAY,0
2008,KYMCO,886
2008,LAMBRETTA,17
2008,LML,556
2008,M.V. AGUSTA,25
2008,M.V. AUGUSTA,0
2008,MEGELLI,0
2008,MLE,0
2008,MODENAS,304
2008,MOTO GUZZI,33
2008,NORTON,19
2008,P.G.O.,219
2008,PAIJIFA,8
2008,PEUGEOT,0
2008,PIAGGIO,7866
2008,REGAL-RAPTOR,0
2008,RIEJU,0
2008,ROYAL ENFIELD,41
2008,SACHS,130
2008,SACIN,0
2008,SANG YANG,14
2008,SANYANG,181
2008,SIPSTAR,0
2008,SUZUKI,8403
2008,SYM,1420
2008,T.G.B.,0
2008,TGB,0
2008,TIGER,31
2008,TRIUMPH,126
2008,TVS,0
2008,VESPA,5536
2008,VINCENT,0
2008,YAMAHA,39865
2008,ZIPSTAR,16
2008,ZONGSHEN,174
2008,OTHERS,31
2009,ADIVA,27
2009,APRILIA,1073
2009,B.M.W.,743
2009,B.S.A.,21
2009,BAJAJ,1952
2009,BENELLI,65
2009,BIMOTA,6
2009,CAGIVA,94
2009,CAN-AM,5
2009,CHUNLAN,11
2009,COSA,182
2009,CPI,26
2009,DAELIM,2011
2009,DERBI,39
2009,DUCATI,595
2009,EMAX,0
2009,GAS GAS,18
2009,HARLEY DAVIDSON,1277
2009,HARTFORD,0
2009,HONDA,66702
2009,HUSQVARNA,96
2009,HYOSUNG,242
2009,ITALJET,13
2009,K.T.M.,673
2009,KAWASAKI,3936
2009,KEEWAY,0
2009,KYMCO,906
2009,LAMBRETTA,17
2009,LML,479
2009,M.V. AGUSTA,30
2009,M.V. AUGUSTA,0
2009,MEGELLI,0
2009,MLE,0
2009,MODENAS,279
2009,MOTO GUZZI,39
2009,NORTON,20
2009,P.G.O.,226
2009,PAIJIFA,8
2009,PEUGEOT,0
2009,PIAGGIO,8045
2009,REGAL-RAPTOR,0
2009,RIEJU,0
2009,ROYAL ENFIELD,52
2009,SACHS,159
2009,SACIN,0
2009,SANG YANG,11
2009,SANYANG,171
2009,SIPSTAR,0
2009,SUZUKI,8281
2009,SYM,1651
2009,T.G.B.,0
2009,TGB,0
2009,TIGER,16
2009,TRIUMPH,171
2009,TVS,0
2009,VESPA,5117
2009,VINCENT,0
2009,YAMAHA,41543
2009,ZIPSTAR,13
2009,ZONGSHEN,138
2009,OTHERS,36
2010,ADIVA,40
2010,APRILIA,1152
2010,B.M.W.,825
2010,B.S.A.,21
2010,BAJAJ,2166
2010,BENELLI,61
2010,BIMOTA,7
2010,CAGIVA,79
2010,CAN-AM,16
2010,CHUNLAN,8
2010,COSA,140
2010,CPI,26
2010,DAELIM,1940
2010,DERBI,65
2010,DUCATI,724
2010,EMAX,5
2010,GAS GAS,15
2010,HARLEY DAVIDSON,1372
2010,HARTFORD,0
2010,HONDA,65354
2010,HUSQVARNA,108
2010,HYOSUNG,193
2010,ITALJET,8
2010,K.T.M.,684
2010,KAWASAKI,3821
2010,KEEWAY,0
2010,KYMCO,912
2010,LAMBRETTA,17
2010,LML,384
2010,M.V. AGUSTA,51
2010,M.V. AUGUSTA,0
2010,MEGELLI,0
2010,MLE,0
2010,MODENAS,229
2010,MOTO GUZZI,42
2010,NORTON,20
2010,P.G.O.,235
2010,PAIJIFA,7
2010,PEUGEOT,0
2010,PIAGGIO,8261
2010,REGAL-RAPTOR,0
2010,RIEJU,27
2010,ROYAL ENFIELD,57
2010,SACHS,173
2010,SACIN,0
2010,SANG YANG,10
2010,SANYANG,149
2010,SIPSTAR,0
2010,SUZUKI,7998
2010,SYM,1996
2010,T.G.B.,0
2010,TGB,0
2010,TIGER,11
2010,TRIUMPH,214
2010,TVS,76
2010,VESPA,4851
2010,VINCENT,0
2010,YAMAHA,43397
2010,ZIPSTAR,11
2010,ZONGSHEN,170
2010,OTHERS,32
2011,ADIVA,62
2011,APRILIA,1265
2011,B.M.W.,959
2011,B.S.A.,21
2011,BAJAJ,2251
2011,BENELLI,40
2011,BIMOTA,7
2011,CAGIVA,81
2011,CAN-AM,24
2011,CHUNLAN,0
2011,COSA,92
2011,CPI,71
2011,DAELIM,1895
2011,DERBI,76
2011,DUCATI,885
2011,EMAX,6
2011,GAS GAS,9
2011,HARLEY DAVIDSON,1519
2011,HARTFORD,0
2011,HONDA,62471
2011,HUSQVARNA,131
2011,HYOSUNG,142
2011,ITALJET,6
2011,K.T.M.,781
2011,KAWASAKI,3437
2011,KEEWAY,19
2011,KYMCO,900
2011,LAMBRETTA,17
2011,LML,344
2011,M.V. AGUSTA,60
2011,M.V. AUGUSTA,0
2011,MEGELLI,45
2011,MLE,0
2011,MODENAS,164
2011,MOTO GUZZI,44
2011,NORTON,20
2011,P.G.O.,277
2011,PAIJIFA,7
2011,PEUGEOT,0
2011,PIAGGIO,8313
2011,REGAL-RAPTOR,11
2011,RIEJU,85
2011,ROYAL ENFIELD,62
2011,SACHS,169
2011,SACIN,0
2011,SANG YANG,10
2011,SANYANG,129
2011,SIPSTAR,0
2011,SUZUKI,7766
2011,SYM,2529
2011,T.G.B.,0
2011,TGB,0
2011,TIGER,6
2011,TRIUMPH,277
2011,TVS,95
2011,VESPA,4418
2011,VINCENT,0
2011,YAMAHA,44319
2011,ZIPSTAR,10
2011,ZONGSHEN,202
2011,OTHERS,30
2012,ADIVA,70
2012,APRILIA,1384
2012,B.M.W.,1158
2012,B.S.A.,21
2012,BAJAJ,2330
2012,BENELLI,32
2012,BIMOTA,7
2012,CAGIVA,75
2012,CAN-AM,27
2012,CHUNLAN,0
2012,COSA,57
2012,CPI,76
2012,DAELIM,1852
2012,DERBI,79
2012,DUCATI,1062
2012,EMAX,5
2012,GAS GAS,8
2012,HARLEY DAVIDSON,1679
2012,HARTFORD,0
2012,HONDA,58614
2012,HUSQVARNA,135
2012,HYOSUNG,115
2012,ITALJET,6
2012,K.T.M.,999
2012,KAWASAKI,3195
2012,KEEWAY,49
2012,KYMCO,938
2012,LAMBRETTA,17
2012,LML,307
2012,M.V. AGUSTA,73
2012,M.V. AUGUSTA,0
2012,MEGELLI,89
2012,MLE,0
2012,MODENAS,143
2012,MOTO GUZZI,46
2012,NORTON,20
2012,P.G.O.,341
2012,PAIJIFA,6
2012,PEUGEOT,13
2012,PIAGGIO,8327
2012,REGAL-RAPTOR,22
2012,RIEJU,120
2012,ROYAL ENFIELD,85
2012,SACHS,159
2012,SACIN,25
2012,SANG YANG,9
2012,SANYANG,88
2012,SIPSTAR,0
2012,SUZUKI,7238
2012,SYM,3357
2012,T.G.B.,0
2012,TGB,0
2012,TIGER,6
2012,TRIUMPH,380
2012,TVS,102
2012,VESPA,3755
2012,VINCENT,0
2012,YAMAHA,45158
2012,ZIPSTAR,8
2012,ZONGSHEN,216
2012,OTHERS,27
2013,ADIVA,97
2013,APRILIA,1436
2013,B.M.W.,1502
2013,B.S.A.,21
2013,BAJAJ,2688
2013,BENELLI,26
2013,BIMOTA,7
2013,CAGIVA,65
2013,CAN-AM,37
2013,CHUNLAN,0
2013,COSA,27
2013,CPI,75
2013,DAELIM,1745
2013,DERBI,77
2013,DUCATI,1201
2013,EMAX,5
2013,GAS GAS,5
2013,HARLEY DAVIDSON,1806
2013,HARTFORD,0
2013,HONDA,55797
2013,HUSQVARNA,137
2013,HYOSUNG,82
2013,ITALJET,6
2013,K.T.M.,1280
2013,KAWASAKI,3075
2013,KEEWAY,121
2013,KYMCO,1056
2013,LAMBRETTA,17
2013,LML,274
2013,M.V. AGUSTA,81
2013,M.V. AUGUSTA,0
2013,MEGELLI,85
2013,MLE,89
2013,MODENAS,123
2013,MOTO GUZZI,52
2013,NORTON,20
2013,P.G.O.,374
2013,PAIJIFA,6
2013,PEUGEOT,29
2013,PIAGGIO,8298
2013,REGAL-RAPTOR,22
2013,RIEJU,134
2013,ROYAL ENFIELD,112
2013,SACHS,149
2013,SACIN,46
2013,SANG YANG,5
2013,SANYANG,60
2013,SIPSTAR,0
2013,SUZUKI,6771
2013,SYM,4142
2013,T.G.B.,0
2013,TGB,0
2013,TIGER,6
2013,TRIUMPH,493
2013,TVS,106
2013,VESPA,3446
2013,VINCENT,0
2013,YAMAHA,47390
2013,ZIPSTAR,8
2013,ZONGSHEN,199
2013,OTHERS,23
2014,ADIVA,221
2014,APRILIA,1451
2014,B.M.W.,1950
2014,B.S.A.,22
2014,BAJAJ,2745
2014,BENELLI,20
2014,BIMOTA,8
2014,CAGIVA,59
2014,CAN-AM,42
2014,CHUNLAN,0
2014,COSA,23
2014,CPI,64
2014,DAELIM,1573
2014,DERBI,72
2014,DUCATI,1369
2014,EMAX,0
2014,GAS GAS,5
2014,HARLEY DAVIDSON,1883
2014,HARTFORD,0
2014,HONDA,54633
2014,HUSQVARNA,132
2014,HYOSUNG,65
2014,ITALJET,5
2014,K.T.M.,1648
2014,KAWASAKI,3070
2014,KEEWAY,131
2014,KYMCO,1208
2014,LAMBRETTA,21
2014,LML,247
2014,M.V. AGUSTA,85
2014,M.V. AUGUSTA,0
2014,MEGELLI,82
2014,MLE,127
2014,MODENAS,112
2014,MOTO GUZZI,63
2014,NORTON,21
2014,P.G.O.,402
2014,PAIJIFA,6
2014,PEUGEOT,55
2014,PIAGGIO,8126
2014,REGAL-RAPTOR,20
2014,RIEJU,136
2014,ROYAL ENFIELD,124
2014,SACHS,135
2014,SACIN,48
2014,SANG YANG,0
2014,SANYANG,44
2014,SIPSTAR,0
2014,SUZUKI,6442
2014,SYM,4479
2014,T.G.B.,0
2014,TGB,0
2014,TIGER,5
2014,TRIUMPH,575
2014,TVS,104
2014,VESPA,3303
2014,VINCENT,0
2014,YAMAHA,47651
2014,ZIPSTAR,5
2014,ZONGSHEN,175
2014,OTHERS,34
2015,A-BIKE,6
2015,ADIVA,393
2015,APRILIA,1414
2015,B.M.W.,2319
2015,B.S.A.,21
2015,BAJAJ,2666
2015,BENELLI,15
2015,BIMOTA,8
2015,CAGIVA,52
2015,CAN-AM,46
2015,CHUNLAN,0
2015,COSA,21
2015,CPI,59
2015,DAELIM,1456
2015,DERBI,68
2015,DUCATI,1457
2015,EMAX,0
2015,GAS GAS,0
2015,HARLEY DAVIDSON,1955
2015,HARTFORD,0
2015,HONDA,53256
2015,HUSQVARNA,124
2015,HYOSUNG,31
2015,INDIAN,18
2015,ITALJET,5
2015,K.T.M.,1991
2015,KAWASAKI,3095
2015,KEEWAY,135
2015,KYMCO,1351
2015,LAMBRETTA,22
2015,LML,178
2015,M.V. AGUSTA,115
2015,M.V. AUGUSTA,0
2015,MEGELLI,75
2015,MLE,125
2015,MODENAS,93
2015,MOTO GUZZI,68
2015,NORTON,21
2015,P.G.O.,447
2015,PAIJIFA,6
2015,PEUGEOT,55
2015,PIAGGIO,7825
2015,REGAL-RAPTOR,19
2015,RIEJU,138
2015,ROYAL ENFIELD,122
2015,SACHS,108
2015,SACIN,48
2015,SANG YANG,0
2015,SANYANG,41
2015,SIPSTAR,0
2015,SUZUKI,6387
2015,SYM,4480
2015,T.G.B.,0
2015,TGB,0
2015,TIGER,5
2015,TRIUMPH,662
2015,TVS,98
2015,VESPA,3196
2015,VICTORY,8
2015,VINCENT,0
2015,YAMAHA,47389
2015,ZIPSTAR,0
2015,ZONGSHEN,168
2015,OTHERS,39
2016,A-BIKE,6
2016,ADIVA,569
2016,APRILIA,1379
2016,B.M.W.,2690
2016,B.S.A.,0
2016,BAJAJ,2461
2016,BENELLI,13
2016,BIMOTA,8
2016,CAGIVA,45
2016,CAN-AM,47
2016,CHUNLAN,0
2016,COSA,17
2016,CPI,45
2016,DAELIM,1336
2016,DERBI,64
2016,DUCATI,1520
2016,EMAX,0
2016,GAS GAS,0
2016,HARLEY DAVIDSON,2017
2016,HARTFORD,0
2016,HONDA,52246
2016,HUSQVARNA,107
2016,HYOSUNG,13
2016,INDIAN,23
2016,ITALJET,5
2016,JIANSHE,20
2016,K.T.M.,2291
2016,KAWASAKI,2987
2016,KEEWAY,140
2016,KYMCO,1465
2016,LAMBRETTA,24
2016,LML,143
2016,M.V. AGUSTA,143
2016,MEGELLI,64
2016,MLE,124
2016,MODENAS,71
2016,MOTO GUZZI,85
2016,NORTON,21
2016,P.G.O.,465
2016,PAIJIFA,5
2016,PEUGEOT,54
2016,PIAGGIO,7391
2016,QINGQI,5
2016,REGAL-RAPTOR,17
2016,RIEJU,140
2016,ROYAL ENFIELD,120
2016,SACHS,98
2016,SACIN,46
2016,SANG YANG,0
2016,SANYANG,38
2016,SCOMADI,103
2016,SUZUKI,6277
2016,SYM,4471
2016,TGB,17
2016,TIGER,0
2016,TRIUMPH,716
2016,TVS,96
2016,VESPA,3044
2016,VICTORY,13
2016,YAMAHA,47503
2016,ZIPSTAR,0
2016,ZONGSHEN,190
2016,OTHERS,54
2017,A-BIKE,5
2017,ADIVA,758
2017,APRILIA,1342
2017,B.M.W.,2890
2017,B.S.A.,21
2017,BAJAJ,2344
2017,BENELLI,9
2017,BIMOTA,8
2017,CAGIVA,39
2017,CAN-AM,47
2017,CHUNLAN,0
2017,COSA,10
2017,CPI,33
2017,DAELIM,1209
2017,DERBI,50
2017,DUCATI,1537
2017,EMAX,0
2017,GAS GAS,0
2017,HARLEY DAVIDSON,2090
2017,HARTFORD,0
2017,HONDA,50118
2017,HUSQVARNA,98
2017,HYOSUNG,10
2017,INDIAN,31
2017,ITALJET,5
2017,JIANSHE,23
2017,K.T.M.,2557
2017,KAWASAKI,2925
2017,KEEWAY,141
2017,KYMCO,1536
2017,LAMBRETTA,27
2017,LEXMOTO,47
2017,LML,116
2017,M.V. AGUSTA,179
2017,MEGELLI,52
2017,MLE,119
2017,MODENAS,55
2017,MOTO GUZZI,94
2017,NORTON,27
2017,P.G.O.,464
2017,PAIJIFA,5
2017,PEUGEOT,48
2017,PIAGGIO,6962
2017,QINGQI,8
2017,REGAL-RAPTOR,16
2017,RIEJU,134
2017,ROYAL ENFIELD,130
2017,SACHS,62
2017,SACIN,45
2017,SANG YANG,0
2017,SANYANG,27
2017,SCOMADI,137
2017,SUZUKI,6076
2017,SYM,4598
2017,TGB,35
2017,TIGER,0
2017,TRIUMPH,841
2017,TVS,94
2017,VESPA,2775
2017,VICTORY,18
2017,YAMAHA,48664
2017,ZIPSTAR,0
2017,ZONGSHEN,194
2017,OTHERS,31
